Company,Quarter,Report Type,Link,Year
Acousort,FY/Q4,Year-End Report,https://storage.mfn.se/e6f249f5-6986-4c4f-8e01-a8ee123c8096/acousort-ab-q4-2024-eng.pdf,2024
Acousort,Q3,Interim Report,https://storage.mfn.se/095a74ce-e30e-43e8-a5ba-d2b2227a631d/acousort-ab-q3-2024-eng.pdf,2024
Acousort,Q2,Interim Report,https://storage.mfn.se/ff719ce8-8b13-4acc-9b1e-93a16d30cd9d/acousort-ab-q2-2024-eng.pdf,2024
Acousort,Q1,Interim Report,https://storage.mfn.se/6df319fa-5038-4c9c-ab16-1e2d633e154c/acousort-ab-q1-2024-eng.pdf,2024
Carlsberg,FY,Annual Report,https://www.carlsberggroup.com/sustainability/report-policies/2024-annual-report/,2024
Carlsberg,FY,Financial Statement,https://www.carlsberggroup.com/investor-relations/investor-home/fy-2024-financial-statement/,2024
Stockwik,Q4,Quarterly Report,https://www.stockwik.se/_files/ugd/5fbe47_5a886f08b2c8442dab8fa88933aa7a7d.pdf,2024
Stockwik,Q3,Quarterly Report,https://www.stockwik.se/_files/ugd/5fbe47_e10e78b3a2f54ba3a7d56373b19a2045.pdf,2024
Stockwik,Q2,Quarterly Report,https://www.stockwik.se/_files/ugd/5fbe47_b2ac0f4598e24c088aa1b9ce93398ddb.pdf,2024
Stockwik,Q1,Quarterly Report,https://www.stockwik.se/_files/ugd/5fbe47_5d4a03c356504887894e1f34f8113e58.pdf,2024
